#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
N/A,SPS_0016-1,Liquid>aqueous,6,-9999,-9999,6.62,0.52,Fluoride_0.0783_ppm_Below_0.1_ppm,-9999,2.76,0.07,0.02,-9999,0.36,1.06,0.51,0.99,TN_0.0645_ppm_Below_LOD_0.07_ppm,1.11,See_FTICR_folder,Cl_CV_030;DTL_000;F_BLC_000
N/A,SPS_0021-1,Liquid>aqueous,3.53,-9999,-9999,4.98,0.72,0.03,-9999,0.96,0.05,0.02,-9999,0.19,1.17,0.53,0.67,TN_0.0509_ppm_Below_LOD_0.07_ppm,0.4,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;F_BLC_000;DTL_000
N/A,SPS_0022-1,Liquid>aqueous,6.33,-9999,-9999,3.86,2.61,Fluoride_0.0434_ppm_Below_0.12_ppm,-9999,0.67,-9999,-9999,-9999,0.17,1.55,0.99,0.62,TN_0.0591_ppm_Below_LOD_0.07_ppm,1.78,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0023-1,Liquid>aqueous,10.4,-9999,Bromide_0.0751_ppm_Below_0.085_ppm,9.12,0.92,0.06,-9999,1.99,0.06,0.02,-9999,0.32,2.87,0.94,0.26,TN_0.0471_ppm_Below_LOD_0.07_ppm,0.15,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000;F_BLC_000
N/A,SPS_0026-1,Liquid>aqueous,7.05,-9999,Bromide_0.178_ppm_Below_LOD_0.0084_ppm,6.14,0.7,Fluoride_0.101_ppm_Below_0.13_ppm,-9999,3.83,0.05,0.04,-9999,0.35,1.07,0.72,0.33,TN_0.0536_ppm_Below_LOD_0.07_ppm,0.5,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000;DTL_000
N/A,SPS_0027-1,Liquid>aqueous,11.2,-9999,0.21,8.85,3.16,0.08,-9999,3.69,0.34,0.02,-9999,0.85,3.93,1.63,1.59,0.23,2.32,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;F_BLC_000
N/A,SPS_0029-1,Liquid>aqueous,31.6,-9999,-9999,18.4,1.56,0.33,-9999,9.42,0.04,0.04,0.7,3.91,11.6,2.09,1.49,0.18,1.64,See_FTICR_folder,Ca_BLC_000
N/A,SPS_0031-1,Liquid>aqueous,6.82,Ammonium_0.0364_ppm_Below_1_ppm,Bromide_0.161_ppm_Below_0.16_ppm,8.42,2.71,0.15,-9999,2.13,0.05,0.02,-9999,0.95,3.37,5.33,1.18,TN_0.0753_ppm_Below_0.1_ppm,12.3,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;Br_BLC_000;F_BLC_000;DTL_000;TSS_004
N/A,SPS_0032-1,Liquid>aqueous,18.1,-9999,Bromide_0.0562_ppm_Below_0.056_ppm,13.3,1.1,0.18,-9999,6.45,0.1,0.02,0.38,2.82,5.63,0.99,2.53,0.13,5.82,See_FTICR_folder,F_CV_030;DTL_000;Br_BLC_000;F_BLC_000;TSS_004
N/A,SPS_0034-1,Liquid>aqueous,35.5,-9999,1.18,19.9,10.2,0.21,-9999,14.2,1.98,0.04,-9999,3.78,16,15.2,2.17,0.66,3.15,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000;VI_TSS_03
N/A,SPS_0035-1,Liquid>aqueous,10.8,-9999,0.34,10.2,2.92,0.14,-9999,4.36,0.43,-9999,0.78,0.96,3.83,1.71,1.37,0.25,3.6,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000
