#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
N/A,SPS_0014-2,Liquid>aqueous,3.31,-9999,0.18,4.91,0.47,Fluoride_0.0879_ppm_Below_0.13_ppm,-9999,0.58,0.07,0.02,-9999,0.23,0.8,0.48,0.66,TN_0.0862_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Mg_CV_030;Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0014-3,Liquid>aqueous,3.41,-9999,Bromide_0.187_ppm_Below_LOD_0.0084_ppm,4.94,0.54,Fluoride_0.0826_ppm_Below_0.13_ppm,-9999,0.59,0.07,0.04,-9999,0.3,0.82,0.47,0.39,TN_0.0762_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Mg_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0015-3,Liquid>aqueous,10.1,-9999,-9999,6.82,7.15,Fluoride_0.0861_ppm_Below_0.12_ppm,-9999,0.77,-9999,-9999,-9999,0.21,3.26,1.36,0.33,TN_0.0626_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0025-2,Liquid>aqueous,11.2,-9999,0.09,6.26,1.42,Fluoride_0.0695_ppm_Below_0.1_ppm,-9999,8.37,0.18,0.02,-9999,0.39,0.94,1.42,0.36,TN_0.0658_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0016-2,Liquid>aqueous,6.01,-9999,Bromide_0.187_ppm_Below_LOD_0.0084_ppm,5.75,1.02,Fluoride_0.0971_ppm_Below_0.13_ppm,-9999,2.59,0.07,0.04,-9999,0.35,1,0.57,0.95,TN_0.0692_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0016-3,Liquid>aqueous,6.06,-9999,Bromide_0.0512_ppm_Below_0.056_ppm,5.15,0.74,Fluoride_0.0702_ppm_Below_0.1_ppm,-9999,1.88,0.08,0.02,-9999,0.34,0.72,0.35,0.68,TN_0.057_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0017-2,Liquid>aqueous,6.24,-9999,-9999,6.81,1.24,0.05,-9999,2.62,0.04,0.02,-9999,0.25,1.63,0.61,0.9,TN_0.0673_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,F_BLC_000;DTL_000
N/A,SPS_0019-3,Liquid>aqueous,8.04,-9999,0.11,6.66,0.93,Fluoride_0.0859_ppm_Below_0.1_ppm,-9999,4.67,0.21,0.02,-9999,0.39,1.15,0.6,0.62,TN_0.0704_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;K_CV_030;Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0020-2,Liquid>aqueous,8.6,-9999,-9999,9.85,0.8,Fluoride_0.103_ppm_Below_0.13_ppm,-9999,0.91,0.02,0.02,-9999,0.24,1.87,0.95,0.26,TN_0.0387_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000;F_BLC_000
N/A,SPS_0046-3,Liquid>aqueous,6.46,-9999,Bromide_0.0522_ppm_Below_0.056_ppm,7.22,1.78,0.11,-9999,2.75,0.08,0.02,-9999,0.42,1.78,0.63,0.9,TN_0.0729_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0021-2,Liquid>aqueous,3.49,-9999,Bromide_0.156_ppm_Below_0.16_ppm,4.69,1,Fluoride_0.0994_ppm_Below_0.13_ppm,-9999,0.55,0.02,0.02,-9999,0.24,1.19,0.54,0.33,TN_0.0372_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;Br_BLC_000;DTL_000;F_BLC_000;TN_CV_030
N/A,SPS_0021-3,Liquid>aqueous,3.42,-9999,0.2,4.95,1.38,Fluoride_0.0927_ppm_Below_0.13_ppm,-9999,0.47,0.11,0.04,-9999,0.32,0.95,0.5,0.43,0.29,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;Br_BLC_000;Ca_BLC_000;DTL_000;TN_CV_030
N/A,SPS_0049-3,Liquid>aqueous,8.09,-9999,0.25,8.83,1.67,0.1,-9999,2.63,0.49,0.02,0.33,0.88,2.6,1.19,1.26,0.21,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;F_BLC_000
N/A,SPS_0022-2,Liquid>aqueous,6.38,-9999,Bromide_0.158_ppm_Below_0.16_ppm,7.92,2.74,Fluoride_0.0969_ppm_Below_0.13_ppm,-9999,1.22,0.03,0.02,-9999,0.32,2.91,1.16,0.66,0.11,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0050-2,Liquid>aqueous,11.1,-9999,Bromide_0.188_ppm_Below_LOD_0.0084_ppm,11.8,3.87,0.15,-9999,3.66,0.09,0.04,0.62,2.03,3.51,2.09,3.04,0.3,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0023-2,Liquid>aqueous,10.4,-9999,Bromide_0.0723_ppm_Below_0.085_ppm,10.8,0.68,0.07,-9999,1.82,0.05,0.02,-9999,0.29,2.58,0.81,0.25,TN_0.047_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000;F_BLC_000
N/A,SPS_0057-3,Liquid>aqueous,22.8,-9999,Bromide_0.00595_ppm_Below_LOD_0.0084_ppm,13.9,1.36,0.2,-9999,7.73,0.05,-9999,0.84,2.99,7.32,2.22,2.09,0.06,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0053-2,Liquid>aqueous,24.9,-9999,2.21,14.3,8.24,0.22,-9999,8.86,3.6,-9999,0.78,2.48,12.4,14.8,1.81,1.47,-9999,See_FTICR_folder,Br_BLC_000;Ca_BLC_000
N/A,SPS_0026-2,Liquid>aqueous,6.8,-9999,-9999,3.06,0.64,Fluoride_0.0238_ppm_Below_0.12_ppm,-9999,1.89,-9999,-9999,-9999,0.12,0.53,0.44,0.32,TN_0.0401_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0026-3,Liquid>aqueous,6.76,-9999,Bromide_0.0826_ppm_Below_0.085_ppm,6.34,0.81,0.05,-9999,3.57,0.07,0.02,-9999,0.24,1.09,0.64,0.31,0.12,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000;F_BLC_000
N/A,SPS_0054-2,Liquid>aqueous,21.7,-9999,1.93,11.7,7.4,0.41,-9999,5.99,3.11,0.02,-9999,1.95,9.2,8.78,1.8,1.64,-9999,See_FTICR_folder,F_CV_030;SO4_CV_030;VI_ION_01
N/A,SPS_0027-2,Liquid>aqueous,11.3,-9999,0.08,5.12,3.63,Fluoride_0.0465_ppm_Below_0.12_ppm,-9999,2,0.2,-9999,-9999,0.42,1.95,1.41,1.49,0.2,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0040-3,Liquid>aqueous,23.8,-9999,-9999,6.73,2.88,Fluoride_0.0379_ppm_Below_0.12_ppm,-9999,4.21,-9999,-9999,-9999,0.23,2.2,1.16,0.79,TN_0.0817_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0055-2,Liquid>aqueous,11.1,-9999,0.37,10.8,3.73,0.16,-9999,3.87,0.49,-9999,0.81,1.24,5.34,3.24,1.41,0.3,-9999,See_FTICR_folder,VI_ION_01;Br_BLC_000;Ca_BLC_000
N/A,SPS_0030-2,Liquid>aqueous,6.42,-9999,0.16,7.37,2.97,0.14,-9999,1.92,0.05,-9999,-9999,0.96,3.07,2.89,0.85,TN_0.0711_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;Ca_BLC_000;DTL_000
N/A,SPS_0041-3,Liquid>aqueous,5.03,-9999,-9999,7.24,3.07,Fluoride_0.0941_ppm_Below_0.13_ppm,-9999,1.09,0.01,0.03,-9999,0.32,2.65,1.11,0.75,TN_0.0834_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,NO4_CV_030;NO2_CV_030;DTL_000;F_BLC_000
N/A,SPS_0056-2,Liquid>aqueous,6.67,-9999,Bromide_0.158_ppm_Below_0.16_ppm,6.53,2.14,0.14,-9999,1.31,0.02,0.01,-9999,0.57,2.06,1.98,1.03,TN_0.0916_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,VI_ION_01;NO4_CV_030;Na_CV_030;DTL_000
N/A,SPS_0056-3,Liquid>aqueous,6.65,-9999,Bromide_0.00801_ppm_Below_LOD_0.0084_ppm,7.96,2.72,0.15,-9999,2.04,0.05,-9999,-9999,1,3.43,3.13,1.03,0.11,-9999,See_FTICR_folder,VI_ION_01;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0031-3,Liquid>aqueous,6.67,-9999,-9999,7.36,1.84,0.07,-9999,1.81,0.04,0.02,-9999,0.72,2.42,1.86,0.99,TN_0.0805_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;F_BLC_000;DTL_000
N/A,SPS_0043-2,Liquid>aqueous,12.8,-9999,-9999,6.35,1,Fluoride_0.0326_ppm_Below_0.12_ppm,-9999,1.39,-9999,-9999,-9999,0.16,1.17,1.07,0.37,TN_0.0648_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0032-2,Liquid>aqueous,17.9,-9999,0.16,13.4,1.49,0.2,-9999,6.51,0.06,0.02,0.54,2.86,5.84,1.14,2.09,0.12,-9999,See_FTICR_folder,F_CV_030;Br_BLC_000;F_BLC_000
N/A,SPS_0033-3,Liquid>aqueous,38.6,-9999,0.83,9.88,9.98,Fluoride_0.117_ppm_Below_0.12_ppm,-9999,7.59,1.66,-9999,-9999,2.03,9.59,16.2,1.82,0.6,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0058-3,Liquid>aqueous,15.8,-9999,Bromide_0.158_ppm_Below_0.16_ppm,11.2,1.15,0.15,-9999,6.04,0.02,-9999,0.83,2.04,4.91,0.89,1.76,0.02,-9999,See_FTICR_folder,SO4_CV_030;DTL_000
N/A,SPS_0033-2,Liquid>aqueous,-9999,-9999,0.9,18.8,9.23,0.15,-9999,11.1,1.74,0.02,0.42,3.52,16.4,12.3,1.91,0.64,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;F_BLC_000
N/A,SPS_0035-3,Liquid>aqueous,10.8,-9999,0.13,5.44,2.56,Fluoride_0.07_ppm_Below_0.12_ppm,-9999,2.13,0.3,-9999,-9999,0.46,1.95,1.48,1.35,0.28,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0046-2,Liquid>aqueous,6.52,-9999,0.06,7.49,1.21,Fluoride_0.0964_ppm_Below_0.1_ppm,-9999,2.67,0.11,0.02,-9999,0.41,1.79,0.62,0.76,TN_0.0894_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0023-3,Liquid>aqueous,-9999,-9999,-9999,5.34,0.64,Fluoride_0.0338_ppm_Below_0.12_ppm,-9999,0.87,-9999,-9999,-9999,0.16,1.43,0.82,0.2,TN_0.0411_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0041-2,Liquid>aqueous,5.03,-9999,0.17,7.37,3.17,Fluoride_0.0752_ppm_Below_0.13_ppm,-9999,1.08,0.05,0.02,-9999,0.33,2.72,1.17,0.8,TN_0.0717_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,NO4_CV_030;NO2_CV_030;Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0047-2,Liquid>aqueous,10.7,-9999,-9999,4.88,0.99,Fluoride_0.0733_ppm_Below_0.12_ppm,-9999,1.92,-9999,-9999,-9999,0.66,1.74,0.72,1.06,0.11,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0001-3,Liquid>aqueous,-9999,-9999,0.17,8.37,1.94,0.16,-9999,3.47,0.06,0.02,0.5,1.54,5.58,0.43,0.74,TN_0.073_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,F_CV_030;NO4_CV_030;SO4_CV_030;Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0042-3,Liquid>aqueous,13,-9999,Bromide_0.00321_ppm_Below_LOD_0.0084_ppm,12.2,0.58,Fluoride_0.119_ppm_Below_0.13_ppm,-9999,2.32,0.1,0.04,-9999,0.45,2.59,1.71,0.6,TN_0.0763_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0035-2,Liquid>aqueous,-9999,-9999,0.32,9.2,3.18,0.13,-9999,4.04,0.39,-9999,-9999,0.92,3.55,1.58,1.3,0.22,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000
N/A,SPS_0050-3,Liquid>aqueous,11.2,-9999,Bromide_0.155_ppm_Below_0.16_ppm,11.5,2.97,0.14,-9999,3.3,0.03,0.02,0.54,1.6,2.86,1.82,2.74,0.21,-9999,See_FTICR_folder,DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0009-3,Liquid>aqueous,-9999,-9999,Bromide_0.181_ppm_Below_LOD_0.0084_ppm,7.61,1.06,0.13,-9999,3.14,0.06,0.04,-9999,1.5,4.2,0.37,0.58,TN_0.062_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0004-3,Liquid>aqueous,-9999,-9999,4.25,15.9,7.51,0.18,-9999,8.88,6.46,0.04,0.5,2.42,10.6,8.33,1.68,1.94,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000
N/A,SPS_0045-2,Liquid>aqueous,20.1,-9999,Bromide_0.157_ppm_Below_0.16_ppm,13,8.16,0.16,-9999,5.8,0.03,0.02,-9999,1.19,8.35,1.35,1.44,0.11,-9999,See_FTICR_folder,DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0045-3,Liquid>aqueous,20.2,-9999,Bromide_0.00738_ppm_Below_LOD_0.0084_ppm,11.9,7.97,0.16,-9999,5.9,0.05,0.02,-9999,1.2,8.35,1.33,1.5,0.12,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0006-3,Liquid>aqueous,-9999,-9999,Bromide_0.0515_ppm_Below_0.056_ppm,11.2,0.81,0.17,-9999,5.38,0.08,0.02,0.35,1.29,6.39,0.46,0.82,TN_0.0744_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0054-3,Liquid>aqueous,21.8,-9999,2.62,15.4,8.01,0.18,-9999,8.09,4.22,0,0.81,2.3,12,13.2,1.82,1.6,-9999,See_FTICR_folder,F_CV_030;SO4_CV_030;VI_ION_01;Br_BLC_000;Ca_BLC_000
N/A,SPS_0059-3,Liquid>aqueous,28.1,-9999,0.16,17,2.35,0.26,-9999,10.7,0.07,-9999,0.86,4.46,9.98,1.2,2.56,0.09,-9999,See_FTICR_folder,Br_BLC_000;Ca_BLC_000
N/A,SPS_0029-2,Liquid>aqueous,-9999,-9999,-9999,16.8,1.74,0.3,-9999,9.63,0.05,0.04,0.68,4.02,11.9,2.09,1.49,0.16,-9999,See_FTICR_folder,Ca_BLC_000
N/A,SPS_0055-3,Liquid>aqueous,11.1,-9999,0.31,8.48,2.99,0.14,-9999,2.98,0.35,0.01,-9999,0.84,3.84,2.36,1.39,0.33,-9999,See_FTICR_folder,N/A
N/A,SPS_0025-3,Liquid>aqueous,-9999,-9999,0.33,6.17,0.95,Fluoride_0.127_ppm_Below_0.13_ppm,-9999,8.87,0.38,0.04,-9999,0.4,1.02,0.9,0.62,TN_0.0805_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;Ca_BLC_000;DTL_000
N/A,SPS_0034-3,Liquid>aqueous,-9999,-9999,1.06,8.94,10.7,0.15,-9999,7.44,2.04,-9999,-9999,2.03,8.9,16.3,2,0.66,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030
N/A,SPS_0015-2,Liquid>aqueous,-9999,-9999,-9999,12.2,6.22,0.14,-9999,1.48,0.07,0.01,-9999,0.54,6.17,1.39,0.39,TN_0.0396_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Mg_CV_030;K_CV_030;F_BLC_000;DTL_000
N/A,SPS_0044-3,Liquid>aqueous,-9999,-9999,-9999,5.5,1.07,Fluoride_0.0306_ppm_Below_0.12_ppm,-9999,4.77,-9999,-9999,-9999,0.17,0.95,0.67,0.49,TN_0.0496_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0048-3,Liquid>aqueous,-9999,-9999,-9999,3.13,1.09,Fluoride_0.0367_ppm_Below_0.12_ppm,-9999,1.08,0.02,-9999,-9999,0.16,0.72,0.47,0.77,0.13,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0059-2,Liquid>aqueous,28.4,-9999,-9999,14.6,2.1,0.23,-9999,10.4,-9999,-9999,0.84,4.37,9.83,1.03,2.62,0.1,-9999,See_FTICR_folder,Ca_BLC_000
N/A,SPS_0053-3,Liquid>aqueous,31.9,-9999,2.42,15.5,8.97,0.19,-9999,9.45,3.94,-9999,-9999,2.67,13.5,15.9,1.83,1.46,-9999,See_FTICR_folder,Br_BLC_000;Ca_BLC_000
N/A,SPS_0027-3,Liquid>aqueous,-9999,-9999,0.21,10.5,3.3,0.09,-9999,4.02,0.36,0.02,-9999,0.9,4.24,1.56,1.29,0.21,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;F_BLC_000
N/A,SPS_0032-3,Liquid>aqueous,-9999,-9999,-9999,11.6,0.94,0.1,-9999,4.28,0.05,0.02,0.39,2.16,4.34,0.73,2.18,0.13,-9999,See_FTICR_folder,F_CV_030;F_BLC_000
N/A,SPS_0034-2,Liquid>aqueous,-9999,-9999,1.24,21.4,11.2,0.22,-9999,15.2,2.12,-9999,0.81,4.06,17,16.7,1.91,0.84,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000
N/A,SPS_0028-3,Liquid>aqueous,-9999,-9999,0.2,10.3,2.16,0.11,-9999,3.99,0.41,0.02,0.35,0.88,3.43,1.39,1.16,0.19,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000
N/A,SPS_0019-2,Liquid>aqueous,-9999,-9999,Bromide_0.187_ppm_Below_LOD_0.0084_ppm,5.62,0.68,Fluoride_0.107_ppm_Below_0.13_ppm,-9999,4,0.07,0.04,-9999,0.3,0.89,0.59,0.4,TN_0.0589_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;K_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0047-3,Liquid>aqueous,-9999,-9999,0.06,10.1,0.59,0.13,-9999,3.76,0.11,0.02,-9999,1.39,3.37,0.86,0.98,TN_0.0768_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0048-2,Liquid>aqueous,-9999,-9999,0.14,7.51,2.25,0.05,-9999,2.83,0.2,0.02,-9999,0.41,2,0.77,0.8,0.12,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;F_BLC_000
N/A,SPS_0044-2,Liquid>aqueous,-9999,-9999,-9999,6.95,0.8,Fluoride_0.0451_ppm_Below_0.12_ppm,-9999,4.78,-9999,-9999,-9999,0.16,0.96,0.66,0.46,TN_0.0493_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_CV_030;Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000
N/A,SPS_0003-2,Liquid>aqueous,-9999,-9999,0.56,17.4,6.65,0.2,-9999,7.23,1.07,0.02,-9999,3.47,10.7,5.53,1.42,0.51,-9999,See_FTICR_folder,F_BLC_000
N/A,SPS_0020-3,Liquid>aqueous,-9999,-9999,-9999,6.96,0.58,Fluoride_0.106_ppm_Below_0.13_ppm,-9999,0.62,0.04,0.04,-9999,0.28,1.23,0.63,0.48,TN_0.0525_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;Ca_BLC_000;DTL_000
N/A,SPS_0022-3,Liquid>aqueous,-9999,-9999,Bromide_0.16_ppm_Below_0.16_ppm,7.83,2.68,Fluoride_0.108_ppm_Below_0.13_ppm,-9999,1.25,0.03,0.02,-9999,0.33,2.92,1.17,0.59,TN_0.0818_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0029-3,Liquid>aqueous,-9999,-9999,-9999,10.3,1.78,0.3,-9999,5.76,-9999,-9999,-9999,2.34,7.24,2.33,1.66,0.14,-9999,See_FTICR_folder,N/A
N/A,SPS_0058-2,Liquid>aqueous,16,-9999,Bromide_0.152_ppm_Below_0.16_ppm,11.1,0.81,0.16,-9999,6.54,0.03,-9999,0.82,2.3,5.28,2.33,1.75,0.01,-9999,See_FTICR_folder,SO4_CV_030;VI_ION_02;SO4_CV_030;DTL_000;Br_BLC_000;Ca_BLC_000
N/A,SPS_0049-2,Liquid>aqueous,-9999,-9999,0.35,8.4,1.81,Fluoride_0.121_ppm_Below_0.13_ppm,-9999,2.44,0.42,0.04,0.56,0.8,2.35,1.44,1.23,0.22,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000;DTL_000
N/A,SPS_0040-2,Liquid>aqueous,-9999,-9999,0.07,13,2.8,0.1,-9999,8.28,0.12,0.02,-9999,0.63,4.79,1.19,1.1,TN_0.0958_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0043-3,Liquid>aqueous,-9999,-9999,Bromide_0.18_ppm_Below_LOD_0.0084_ppm,11.6,0.92,Fluoride_0.122_ppm_Below_0.13_ppm,-9999,2.62,0.06,0.04,-9999,0.39,2.17,1.18,0.37,TN_0.077_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0017-3,Liquid>aqueous,-9999,-9999,-9999,6.37,1.34,Fluoride_0.0962_ppm_Below_0.12_ppm,-9999,2.55,0.01,-9999,-9999,0.36,1.61,0.7,0.59,TN_0.0568_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Ca_BLC_000;DTL_000
#End_Data,,,,,,,,,,,,,,,,,,,,,
